subject,sex,age,condition,responseorder,h.pity.target,h.envy.target,h.pityAD,h.pityC,h.envyAD,h.envyC,w.pity.target,w.envy.target,w.pityAD,w.pityC,w.envyAD,w.envyC
731,female,49,EnvyAD,Hire,4,7,NA,NA,6,NA,2.853015971,3.373140784,NA,NA,2.960623096,NA
732,male,20,EnvyAD,WTP,6,7,NA,NA,3,NA,4.536784273,5.165243012,NA,NA,4.869839484,NA
733,female,27,PityAD,Hire,3,6,2,NA,NA,NA,3.438493166,3.699819394,2.960623096,NA,NA,NA
734,female,32,EnvyAD,Hire,3,7,NA,NA,6,NA,3.474138006,3.664330581,NA,NA,3.824065727,NA
735,male,19,EnvyAD,Hire,6,7,NA,NA,5,NA,3.323596136,3.799078246,NA,NA,3.401530659,NA
736,male,31,PityC,WTP,5,5,NA,1,NA,NA,3.360375387,3.409496184,NA,2.887590115,NA,NA
737,male,59,EnvyC,WTP,5,6,NA,NA,NA,1,2.819591576,2.750470917,NA,NA,NA,2.636196097
738,male,33,Baseline,Hire,5,3,NA,NA,NA,NA,2.869034621,2.303584593,NA,NA,NA,NA
739,male,29,EnvyC,Hire,5,7,NA,NA,NA,3,3.373140784,3.373140784,NA,NA,NA,3.353756307
740,female,35,PityAD,Hire,5,7,5,NA,NA,NA,4.677304784,4.944780351,4.376888457,NA,NA,NA
741,male,24,EnvyAD,WTP,5,7,NA,NA,2,NA,3.923556241,4.096841442,NA,NA,3.363495514,NA
742,male,25,PityAD,WTP,6,6,4,NA,NA,NA,3.363495514,3.429460847,3.134189017,NA,NA,NA
743,female,43,EnvyC,WTP,5,6,NA,NA,NA,5,2.931193752,3.59703825,NA,NA,NA,3.109507288
744,female,56,PityC,WTP,5,4,NA,3,NA,NA,3.394843908,3.230013569,NA,3.07176696,NA,NA
745,male,37,EnvyC,WTP,4,7,NA,NA,NA,3,4.64265863,4.394449155,NA,NA,NA,4.61234439
746,male,50,PityC,Hire,5,7,NA,1,NA,NA,3.900962058,4.390986376,NA,2.946016681,NA,NA
747,male,24,Baseline,WTP,5,4,NA,NA,NA,NA,3.18221184,3.392156637,NA,NA,NA,NA
748,male,37,EnvyAD,WTP,6,6,NA,NA,5,NA,4.164803026,4.260706099,NA,NA,4.014037931,NA
749,female,33,Baseline,WTP,6,6,NA,NA,NA,NA,3.699819394,3.420346201,NA,NA,NA,NA
750,female,37,EnvyC,Hire,5,5,NA,NA,NA,3,4.160444364,4.199154927,NA,NA,NA,4.248638089
751,male,35,EnvyC,Hire,2,7,NA,NA,NA,3,3.734091797,4.972240906,NA,NA,NA,4.453998398
752,male,22,PityAD,Hire,7,6,4,NA,NA,NA,3.999117712,3.697591395,2.762538386,NA,NA,NA
753,female,29,Baseline,Hire,1,7,NA,NA,NA,NA,3.699819394,4.825590031,NA,NA,NA,NA
754,female,35,PityAD,WTP,5,5,4,NA,NA,NA,4.203497876,4.329811863,4.029094677,NA,NA,NA
755,female,36,EnvyC,WTP,4,5,NA,NA,NA,3,3.678576561,3.671478939,NA,NA,NA,3.69262244
756,female,45,EnvyAD,Hire,4,6,NA,NA,5,NA,3.627535824,3.945457782,NA,NA,3.830161979,NA
757,male,29,EnvyAD,Hire,3,5,NA,NA,4,NA,3.671478939,4.268577942,NA,NA,3.671478939,NA
758,female,47,PityAD,WTP,3,5,3,NA,NA,NA,2.215937286,3.24998682,2.853015971,NA,NA,NA
759,female,52,Baseline,WTP,5,6,NA,NA,NA,NA,3.620065138,3.988243031,NA,NA,NA,NA
760,male,20,Baseline,Hire,5,6,NA,NA,NA,NA,3.38269391,3.678576561,NA,NA,NA,NA
761,male,36,PityAD,Hire,7,3,5,NA,NA,NA,2.960623096,3.170525564,2.915606229,NA,NA,NA
762,male,35,PityAD,WTP,3,5,3,NA,NA,NA,2.215937286,2.853015971,2.358965426,NA,NA,NA
763,female,26,PityC,Hire,5,3,NA,4,NA,NA,3.685624161,3.333632062,NA,2.900322089,NA,NA
764,female,,PityC,WTP,6,6,NA,1,NA,NA,2.989211057,3.38269391,NA,0,NA,NA
765,female,32,PityC,Hire,5,6,NA,3,NA,NA,3.2820384,3.303216973,NA,2.573375298,NA,NA
766,female,33,EnvyC,Hire,2,7,NA,NA,NA,2,4.082777926,4.626246512,NA,NA,NA,3.678576561
767,female,30,EnvyAD,WTP,6,7,NA,NA,5,NA,2.836736542,2.975019232,NA,NA,2.332143895,NA
768,female,23,PityC,Hire,6,6,NA,6,NA,NA,4.811940423,4.725882261,NA,4.628984364,NA,NA
769,female,52,EnvyAD,WTP,7,7,NA,NA,6,NA,3.634951112,3.811760583,NA,NA,3.541538866,NA
770,male,49,Baseline,Hire,4,6,NA,NA,NA,NA,4.087487775,4.626246512,NA,NA,NA,NA
771,female,28,PityC,WTP,6,7,NA,1,NA,NA,3.92907676,4.390986376,NA,3.657130756,NA,NA
772,female,42,PityAD,Hire,3,7,3,NA,NA,NA,2.551786179,2.884800713,2.012232792,NA,NA,NA
773,male,37,PityAD,WTP,4,6,4,NA,NA,NA,3.343568269,3.664330581,2.900322089,NA,NA,NA
